,sample_number,date,temp,status
131,131,260913010836,78,0x262602005304210867284063983169001902581E000000305000000500000040000000000238EF00260913010836CD2C7B44B15998C21A4A8340000000112828000000010E9700000EF7023C0B5A764310FFFF
132,132,260913010901,78,0x262602005304220867284063983169001902581E000000335000000500000040000000000238EF00260913010901CD2C7B44B15998C21A4A8340000000112827000000010EC1000017CE0240125876430FFFFF
133,133,260913010927,78,0x262602005304230867284063983169001902581E000000305000000500000040000000000238EF00260913010927CD2C7B44B15998C21A4A8340000000112829000000010EDF0000155B0240105976430FFFFF
134,134,260913010952,78,0x262602005304240867284063983169001902581E000000304D00000500000040000000000238EF00260913010952CD2C7B44B15998C21A4A8340000000112822000000010F0300000F63023F0B58764310FFFF
135,135,260913011017,78,0x262602005304250867284063983169001902581E000000335000000500000040000000000238EF00260913011017CD2C7B44B15998C21A4A8340000000112825000000010F2400001142023F0D58764310FFFF
136,136,260913011042,78,0x262602005304260867284063983169001902581E000000255000000500000040000000000238EF00260913011042CD2C7B44B15998C21A4A8340000000112819000000010F43000016FE023C115A76430FFFFF
137,137,260913011107,77,0x262602005304270867284063983169001902581E000000305000000500000040000000000238EF00260913011107CD2C7B44B15998C21A4A8340000000112827000000010F6800001229023C0D58754310FFFF
138,138,260913011132,77,0x262602005304280867284063983169001902581E000000305000000500000040000000000238EF00260913011132CD2C7B44B15998C21A4A8340000000112829000000010F8A000016FE023E115A754310FFFF
139,139,260913011157,77,0x262602005304290867284063983169001902581E000000304F00000500000040000000000238EF00260913011157CD2C7B44B15998C21A4A8340000000112823000000010FAD000011AD02400D5A754310FFFF
140,140,260913011222,77,0x2626020053042A0867284063983169001902581E000000334C00000500000040000000000238EF00260913011222CD2C7B44B15998C21A4A8340000000112828000000010FCE00001032023E105A754310FFFF
141,141,260913011247,77,0x2626020053042B0867284063983169001902581E000000334E00000500000040000000000238EF00260913011247CD2C7B44B15998C21A4A8340000000112827000000010FF40000126902400E5A754310FFFF
142,142,260913011312,77,0x2626020053042C0867284063983169001902581E000000334F00000500000040000000000238EF00260913011312CD2C7B44B15998C21A4A834000000011282700000001101500001752023D115975430FFFFF
143,143,260913011337,77,0x2626020053042D0867284063983169001902581E000000334E00000500000040000000000238EF00260913011337CD2C7B44B15998C21A4A834000000011283000000001103300000F7702400B5A754310FFFF
144,144,260913011402,77,0x2626020053042E0867284063983169001902581E000000335000000500000040000000000238EF00260913011402CD2C7B44B15998C21A4A834000000011282200000001105600001201023E0D59754310FFFF
